Sage County Level					GADM			
CountryNameList	RegionList	ContinentList	NoCommaName	Sage3	NAME_ENGLI	ISO	NAME_ISO	NAME_FAO
Congo, Republic of	Mest_Africa	Africa	Republic of Congo	COG	Republic of Congo	COG	CONGO	Congo, Republic of
Cook Islands	Asia	Oceania	Cook Islands	COK	Cook Islands	COK	COOK ISLANDS	Cook Islands
Costa Rica	Samer	Central Ameri	Costa Rica	COS	Costa Rica	CRI	COSTA RICA	Costa Rica
Croatia	Eur_Rus	Europe	Croatia	HRV	Croatia	HRV	CROATIA	Croatia
Cuba	Samer	South America	Cuba	CUB	Cuba	CUB	CUBA	Cuba
Cyprus	Mest_Africa	Asia	Cyprus	CYP	Cyprus	CYP	CYPRUS	Cyprus
Czech Republic	Eur_Rus	Europe	Czech Republic	CZE	Czech Republic	CZE	CZECH REPUBLIC	Czech Republic
Denmark	Eur_Rus	Europe	Denmark	DNK	Denmark	DNK	DENMARK	Denmark
Djibouti	Mest_Africa	Africa	Djibouti	DJI	Djibouti	DJI	DJIBOUTI	Djibouti
Dominica	Samer	Caribbean	Dominica	DMI	Dominica	DMA	DOMINICA	Dominica
Dominican Republic	Samer	Caribbean	Dominican Republic	DOM	Dominican Republic	DOM	DOMINICAN REPUBLIC	Dominican Republic
					East Timor	TLS	TIMOR-LESTE	Timor-Leste
Ecuador	Samer	South America	Ecuador	ECU	Ecuador	ECU	ECUADOR	Ecuador
Egypt	Mest_Africa	Africa	Egypt	EGY	Egypt	EGY	EGYPT	Egypt
El Salvador	Samer	Central Ameri	El Salvador	ELS	El Salvador	SLV	EL SALVADOR	El Salvador
Equatorial Guinea	Mest_Africa	Africa	Equatorial Guinea	GNQ	Equatorial Guinea	GNQ	EQUATORIAL GUINEA	Equatorial Guinea
Eritrea	Mest_Africa	Africa	Eritrea	ERI	Eritrea	ERI	ERITREA	Eritrea
Estonia	Eur_Rus	Europe	Estonia	EST	Estonia	EST	ESTONIA	Estonia
Ethiopia	Mest_Africa	Africa	Ethiopia	ETH	Ethiopia	ETH	ETHIOPIA	Ethiopia
Falkland Is (Malvinas)	Samer	South America	Falkland Is (Malvinas)	FLK	Falkland Islands	FLK	FALKLAND ISLANDS (MALVINAS)	
Faeroe Islands	Eur_Rus	Europe	Faeroe Islands	FRO	Faroe Islands	FRO	FAROE ISLANDS	Faroe Islands
Fiji Islands	Asia	Oceania	Fiji Islands	FJI	Fiji	FJI	FIJI	Fiji Islands
Finland	Eur_Rus	Europe	Finland	FIN	Finland	FIN	FINLAND	Finland
France	Eur_Rus	Europe	France	FRA	France	FRA	FRANCE	France
French Guiana	Samer	South America	French Guiana	FGU	French Guiana	GUF	FRENCH GUIANA	French Guiana
French Polynesia	Asia	Oceania	French Polynesia	PYF	French Polynesia	PYF	FRENCH POLYNESIA	French Polynesia
					French Southern Territories	ATF	FRENCH SOUTHERN TERRITORIES	
Gabon	Mest_Africa	Africa	Gabon	GAB	Gabon	GAB	GABON	Gabon
Gambia	Mest_Africa	Africa	Gambia	GMB	Gambia	GMB	GAMBIA	Gambia
Georgia	Mest_Africa	Asia	Georgia	GEO	Georgia	GEO	GEORGIA	Georgia
Germany	Eur_Rus	Europe	Germany	DEU	Germany	DEU	GERMANY	Germany
Ghana	Mest_Africa	Africa	Ghana	GHA	Ghana	GHA	GHANA	Ghana
Gibraltar	Eur_Rus	Europe	Gibraltar	GIB	Gibraltar	GIB	GIBRALTAR	
Greece	Eur_Rus	Europe	Greece	GRC	Greece	GRC	GREECE	Greece
Greenland	Namer	North America	Greenland	GRL	Greenland	GRL	GREENLAND	
Grenada	Samer	Caribbean	Grenada	GRD	Grenada	GRD	GRENADA	Grenada
Guadeloupe	Samer	Caribbean	Guadeloupe	GLP	Guadeloupe	GLP	GUADELOUPE	Guadeloupe
Guam	Asia	Oceania	Guam	GUM	Guam	GUM	GUAM	Guam
Guatemala	Samer	Central Ameri	Guatemala	GUA	Guatemala	GTM	GUATEMALA	Guatemala
Guernsey	Eur_Rus	Europe	Guernsey	XGK	Guernsey	GGY	GUERNSEY	
Guinea	Mest_Africa	Africa	Guinea	GIN	Guinea	GIN	GUINEA	Guinea
Guinea-Bissau	Mest_Africa	Africa	Guinea-Bissau	GNB	Guinea-Bissau	GNB	GUINEA-BISSAU	Guinea-Bissau
Guyana	Samer	South America	Guyana	GUY	Guyana	GUY	GUYANA	Guyana
Haiti	Samer	Caribbean	Haiti	HAI	Haiti	HTI	HAITI	Haiti
					Heard Island and McDonald Islands	HMD	HEARD ISLAND AND MCDONALD ISLANDS	
Honduras	Samer	Central Ameri	Honduras	HON	Honduras	HND	HONDURAS	Honduras
					Hong Kong	HKG	HONG KONG	
Hungary	Eur_Rus	Europe	Hungary	HUN	Hungary	HUN	HUNGARY	Hungary
Iceland	Eur_Rus	Europe	Iceland	ISL	Iceland	ISL	ICELAND	Iceland
India	Asia	Asia	India	IND	India	IND	INDIA	India
Indonesia	Asia	Oceania	Indonesia	IDN	Indonesia	IDN	INDONESIA	Indonesia
Iran Islamic Republic	Mest_Africa	Asia	Iran Islamic Republic	IRN	Iran	IRN	IRAN, ISLAMIC REPUBLIC OF	Iran, Islamic Rep of
Iraq	Mest_Africa	Asia	Iraq	IRQ	Iraq	IRQ	IRAQ	Iraq
Ireland	Eur_Rus	Europe	Ireland	IRL	Ireland	IRL	IRELAND	Ireland
Isle of Man	Eur_Rus	Europe	Isle of Man	XIM	Isle of Man	IMN	ISLE OF MAN	Isle of Man
Israel incl. Palestine,	Mest_Africa	Asia	Israel incl. Palestine	ISR	Israel	ISR	ISRAEL	Israel
Italy	Eur_Rus	Europe	Italy	ITA	Italy	ITA	ITALY	Italy
Jamaica	Samer	Caribbean	Jamaica	JAM	Jamaica	JAM	JAMAICA	Jamaica
Japan	Asia	Asia	Japan	JPN	Japan	JPN	JAPAN	Japan
Jersey	Eur_Rus	Europe	Jersey	XJE	Jersey	JEY	JERSEY	
Jordan	Mest_Africa	Asia	Jordan	JOR	Jordan	JOR	JORDAN	Jordan
Kazakhstan	Mest_Africa	Asia	Kazakhstan	KAZ	Kazakhstan	KAZ	KAZAKHSTAN	Kazakhstan
Kenya	Mest_Africa	Africa	Kenya	KEN	Kenya	KEN	KENYA	Kenya
Kiribati	Asia	Oceania	Kiribati	KIR	Kiribati	KIR	KIRIBATI	Kiribati
Korea, Dem People's Rep	Asia	Asia	Dem People's Rep Korea	PRK	North Korea	PRK	KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF	Korea, Dem People's Rep
Korea, Republic of	Asia	Asia	Republic of Korea	KOR	South Korea	KOR	KOREA, REPUBLIC OF	Korea, Republic of
Kuwait	Mest_Africa	Asia	Kuwait	KWT	Kuwait	KWT	KUWAIT	Kuwait
Kyrgyzstan	Mest_Africa	Asia	Kyrgyzstan	KGZ	Kyrgyzstan	KGZ	KYRGYZSTAN	Kyrgyzstan
Laos	Asia	Asia	Laos	LAO	Laos	LAO	LAO PEOPLE'S DEMOCRATIC REPUBLIC	Laos
Latvia	Eur_Rus	Europe	Latvia	LVA	Latvia	LVA	LATVIA	Latvia
Lebanon	Mest_Africa	Asia	Lebanon	LBN	Lebanon	LBN	LEBANON	Lebanon
Lesotho	Mest_Africa	Africa	Lesotho	LSO	Lesotho	LSO	LESOTHO	Lesotho
Liberia	Mest_Africa	Africa	Liberia	LBR	Liberia	LBR	LIBERIA	Liberia
Libyan Arab Jamahiriya	Mest_Africa	Africa	Libyan Arab Jamahiriya	LBY	Libya	LBY	LIBYAN ARAB JAMAHIRIYA	Libyan Arab Jamahiriya
Liechtenstein	Eur_Rus	Europe	Liechtenstein	LIE	Liechtenstein	LIE	LIECHTENSTEIN	Liechtenstein
Lithuania	Eur_Rus	Europe	Lithuania	LTU	Lithuania	LTU	LITHUANIA	Lithuania
Luxembourg	Eur_Rus	Europe	Luxembourg	LUX	Luxembourg	LUX	LUXEMBOURG	Luxembourg
Macau	Asia	Asia	Macau	MAC	Macao	MAC	MACAO	
Macedonia,The Fmr Yug Rp	Eur_Rus	Europe	The Fmr Yug Rp Macedonia	MKD	Macedonia	MKD	MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF	Macedonia,The Fmr Yug Rp
Madagascar	Mest_Africa	Africa	Madagascar	MDG	Madagascar	MDG	MADAGASCAR	Madagascar
Malawi	Mest_Africa	Africa	Malawi	MWI	Malawi	MWI	MALAWI	Malawi
Malaysia	Asia	Asia	Malaysia	MYS	Malaysia	MYS	MALAYSIA	Malaysia
Maldives	Mest_Africa	Asia	Maldives	MDV	Maldives	MDV	MALDIVES	Maldives
Mali	Mest_Africa	Africa	Mali	MLI	Mali	MLI	MALI	Mali
Malta	Eur_Rus	Europe	Malta	MLT	Malta	MLT	MALTA	Malta
Marshall Islands	Asia	Oceania	Marshall Islands	MHL	Marshall Islands	MHL	MARSHALL ISLANDS	Marshall Islands
Martinique	Samer	Caribbean	Martinique	MTQ	Martinique	MTQ	MARTINIQUE	Martinique
Mauritania	Mest_Africa	Africa	Mauritania	MRT	Mauritania	MRT	MAURITANIA	Mauritania
Mauritius	Mest_Africa	Africa	Mauritius	MUS	Mauritius	MUS	MAURITIUS	Mauritius
Mayotte	Mest_Africa	Africa	Mayotte	MYT	Mayotte	MYT	MAYOTTE	Mayotte
Mexico	Namer	North America	Mexico	MEX	Mexico	MEX	MEXICO	Mexico
Micronesia,Fed States of	Asia	Oceania	Fed States of Micronesia	FSM	Micronesia	FSM	MICRONESIA, FEDERATED STATES OF	Micronesia,Fed States of
Moldova, Republic of	Eur_Rus	Europe	Republic of Moldova	MDA	Moldova	MDA	MOLDOVA, REPUBLIC OF	Moldova, Republic of
Monaco	Eur_Rus	Europe	Monaco	MCO	Monaco	MCO	MONACO	
Mongolia	Asia	Asia	Mongolia	MNG	Mongolia	MNG	MONGOLIA	Mongolia
Serbia and Montenegro	Eur_Rus	Europe	Serbia and Montenegro	SRM	Montenegro	MNE	MONTENEGRO	
Montserrat	Samer	Caribbean	Montserrat	MSR	Montserrat	MSR	MONTSERRAT	Montserrat
Morocco	Mest_Africa	Africa	Morocco	MAR	Morocco	MAR	MOROCCO	Morocco
Mozambique	Mest_Africa	Africa	Mozambique	MOZ	Mozambique	MOZ	MOZAMBIQUE	Mozambique
Myanmar	Asia	Asia	Myanmar	MMR	Myanmar	MMR	MYANMAR	Myanmar
Namibia	Mest_Africa	Africa	Namibia	NAM	Namibia	NAM	NAMIBIA	Namibia
Nauru	Asia	Oceania	Nauru	NRU	Nauru	NRU	NAURU	
Nepal	Asia	Asia	Nepal	NPL	Nepal	NPL	NEPAL	Nepal
Netherlands	Eur_Rus	Europe	Netherlands	NLD	Netherlands	NLD	NETHERLANDS	Netherlands
Netherlands Antilles	Samer	Caribbean	Netherlands Antilles	ANT	Netherlands Antilles	ANT	NETHERLANDS ANTILLES	Netherlands Antilles
New Caledonia	Asia	Asia	New Caledonia	NCL	New Caledonia	NCL	NEW CALEDONIA	New Caledonia
New Zealand	Aust_NZ	Oceania	New Zealand	NZL	New Zealand	NZL	NEW ZEALAND	New Zealand
Nicaragua	Samer	Central Ameri	Nicaragua	NIC	Nicaragua	NIC	NICARAGUA	Nicaragua
Niger	Mest_Africa	Africa	Niger	NER	Niger	NER	NIGER	Niger
Nigeria	Mest_Africa	Africa	Nigeria	NGA	Nigeria	NGA	NIGERIA	Nigeria
Niue	Asia	Oceania	Niue	NIU	Niue	NIU	NIUE	Niue
Norfolk Island	Asia	Asia	Norfolk Island	NFK	Norfolk Island	NFK	NORFOLK ISLAND	
Northern Mariana Is	Asia	Oceania	Northern Mariana Is	MNP	Northern Mariana Islands	MNP	NORTHERN MARIANA ISLANDS	Northern Mariana Is
Norway	Eur_Rus	Europe	Norway	NOR	Norway	NOR	NORWAY	Norway
Oman	Mest_Africa	Asia	Oman	OMN	Oman	OMN	OMAN	Oman
Pakistan	Asia	Asia	Pakistan	PAK	Pakistan	PAK	PAKISTAN	Pakistan
Palau	Asia	Oceania	Palau	PLW	Palau	PLW	PALAU	Palau
Israel incl. Palestine,	Mest_Africa	Asia	Israel incl. Palestine	ISR	Palestina	PSE	PALESTINIAN TERRITORY, OCCUPIED	Palestine, Occupied Tr.
Panama	Samer	Central Ameri	Panama	PAN	Panama	PAN	PANAMA	Panama
Papua New Guinea	Asia	Asia	Papua New Guinea	PNG	Papua New Guinea	PNG	PAPUA NEW GUINEA	Papua New Guinea
Paracel Islands	Asia	Asia	Paracel Islands	XPF				
Paraguay	Samer	South America	Paraguay	PRY	Paraguay	PRY	PARAGUAY	Paraguay
Peru	Samer	South America	Peru	PER	Peru	PER	PERU	Peru
Philippines	Asia	Asia	Philippines	PHL	Philippines	PHL	PHILIPPINES	Philippines
Pitcairn Islands	Asia	Oceania	Pitcairn Islands	PCN	Pitcairn Islands	PCN	PITCAIRN	
Poland	Eur_Rus	Europe	Poland	POL	Poland	POL	POLAND	Poland
Portugal	Eur_Rus	Europe	Portugal	PRT	Portugal	PRT	PORTUGAL	Portugal
Puerto Rico	Samer	Caribbean	Puerto Rico	PRI	Puerto Rico	PRI	PUERTO RICO	Puerto Rico
Qatar	Mest_Africa	Asia	Qatar	QAT	Qatar	QAT	QATAR	Qatar
Reunion	Mest_Africa	Africa	Reunion	REU	Reunion	REU	REUNION	Réunion
Romania	Eur_Rus	Europe	Romania	ROM	Romania	ROU	ROMANIA	Romania
Russian Federation	Eur_Rus	Europe	Russian Federation	RUS	Russia	RUS	RUSSIAN FEDERATION	Russian Federation
Rwanda	Mest_Africa	Africa	Rwanda	RWA	Rwanda	RWA	RWANDA	Rwanda
Saint Helena	Mest_Africa	Africa	Saint Helena	SHN	Saint Helena	SHN	SAINT HELENA	Saint Helena
Saint Kitts and Nevis	Samer	Caribbean	Saint Kitts and Nevis	KNA	Saint Kitts and Nevis	KNA	SAINT KITTS AND NEVIS	Saint Kitts and Nevis
Saint Lucia	Samer	Caribbean	Saint Lucia	STL	Saint Lucia	LCA	SAINT LUCIA	Saint Lucia
Saint Pierre & Miquelon	Namer	North America	Saint Pierre & Miquelon	SPM	Saint Pierre and Miquelon	SPM	SAINT PIERRE AND MIQUELON	Saint Pierre & Miquelon
Saint Vincent/Grenadines	Samer	Caribbean	Saint Vincent/Grenadines	VCT	Saint Vincent and the Grenadines	VCT	SAINT VINCENT AND THE GRENADINES	Saint Vincent/Grenadines
Samoa	Asia	Oceania	Samoa	WSM	Samoa	WSM	SAMOA	Samoa
San Marino	Eur_Rus	Europe	San Marino	SMR	San Marino	SMR	SAN MARINO	San Marino
Sao Tome and Principe	Mest_Africa	Africa	Sao Tome and Principe	STP	Sao Tome and Principe	STP	SAO TOME AND PRINCIPE	Sao Tome and Principe
Saudi Arabia	Mest_Africa	Asia	Saudi Arabia	SAU	Saudi Arabia	SAU	SAUDI ARABIA	Saudi Arabia
Senegal	Mest_Africa	Africa	Senegal	SEN	Senegal	SEN	SENEGAL	Senegal
Serbia and Montenegro	Eur_Rus	Europe	Serbia and Montenegro	SRM	Serbia	SRB	SERBIA	Serbia and Montenegro
Seychelles	Mest_Africa	Africa	Seychelles	SYC	Seychelles	SYC	SEYCHELLES	Seychelles
Sierra Leone	Mest_Africa	Africa	Sierra Leone	SLE	Sierra Leone	SLE	SIERRA LEONE	Sierra Leone
Singapore	Asia	Asia	Singapore	SGP	Singapore	SGP	SINGAPORE	Singapore
Slovak Republic	Eur_Rus	Europe	Slovak Republic	SVK	Slovakia	SVK	SLOVAKIA	Slovakia
Slovenia	Eur_Rus	Europe	Slovenia	SVN	Slovenia	SVN	SLOVENIA	Slovenia
Solomon Islands	Asia	Asia	Solomon Islands	SLB	Solomon Islands	SLB	SOLOMON ISLANDS	Solomon Islands
Somalia	Mest_Africa	Africa	Somalia	SOM	Somalia	SOM	SOMALIA	Somalia
South Africa	Mest_Africa	Africa	South Africa	ZAF	South Africa	ZAF	SOUTH AFRICA	South Africa
					South Georgia and the South Sandwich Islands	SGS	SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS	
Spain	Eur_Rus	Europe	Spain	ESP	Spain	ESP	SPAIN	Spain
Spratly Islands	Asia	Asia	Spratly Islands	XPG	Spratly islands	SP-		
Sri Lanka	Asia	Asia	Sri Lanka	LKA	Sri Lanka	LKA	SRI LANKA	Sri Lanka
Sudan	Mest_Africa	Africa	Sudan	SDN	Sudan	SDN	SUDAN	Sudan
Suriname	Samer	South America	Suriname	SUR	Suriname	SUR	SURINAME	Suriname
Jan Mayen	Eur_Rus	Europe	Jan Mayen	SJM	Svalbard and Jan Mayen	SJM	SVALBARD AND JAN MAYEN	
Swaziland	Mest_Africa	Africa	Swaziland	SWZ	Swaziland	SWZ	SWAZILAND	Swaziland
Sweden	Eur_Rus	Europe	Sweden	SWE	Sweden	SWE	SWEDEN	Sweden
Switzerland	Eur_Rus	Europe	Switzerland	CHE	Switzerland	CHE	SWITZERLAND	Switzerland
Syrian Arab Republic	Mest_Africa	Asia	Syrian Arab Republic	SYR	Syria	SYR	SYRIAN ARAB REPUBLIC	Syrian Arab Republic
Taiwan	Asia	Asia	Taiwan	TWN	Taiwan	TWN	TAIWAN, PROVINCE OF CHINA	
Tajikistan	Mest_Africa	Asia	Tajikistan	TJK	Tajikistan	TJK	TAJIKISTAN	Tajikistan
Tanzania, United Rep of	Mest_Africa	Africa	United Rep of Tanzania	TZA	Tanzania	TZA	TANZANIA, UNITED REPUBLIC OF	Tanzania, United Rep of
Thailand	Asia	Asia	Thailand	THA	Thailand	THA	THAILAND	Thailand
Togo	Mest_Africa	Africa	Togo	TGO	Togo	TGO	TOGO	Togo
Tokelau	Asia	Oceania	Tokelau	TKL	Tokelau	TKL	TOKELAU	
Tonga	Asia	Oceania	Tonga	TON	Tonga	TON	TONGA	Tonga
Trinidad and Tobago	Samer	Caribbean	Trinidad and Tobago	TRI	Trinidad and Tobago	TTO	TRINIDAD AND TOBAGO	Trinidad and Tobago
Tunisia	Mest_Africa	Africa	Tunisia	TUN	Tunisia	TUN	TUNISIA	Tunisia
Turkey	Mest_Africa	Asia	Turkey	TUR	Turkey	TUR	TURKEY	Turkey
Turkmenistan	Mest_Africa	Asia	Turkmenistan	TKM	Turkmenistan	TKM	TURKMENISTAN	Turkmenistan
Turks and Caicos Is	Samer	Caribbean	Turks and Caicos Is	TCI	Turks and Caicos Islands	TCA	TURKS AND CAICOS ISLANDS	Turks and Caicos Is
Tuvalu	Asia	Oceania	Tuvalu	TUV	Tuvalu	TUV	TUVALU	Tuvalu
Uganda	Mest_Africa	Africa	Uganda	UGA	Uganda	UGA	UGANDA	Uganda
Ukraine	Eur_Rus	Europe	Ukraine	UKR	Ukraine	UKR	UKRAINE	Ukraine
United Arab Emirates	Mest_Africa	Asia	United Arab Emirates	ARE	United Arab Emirates	ARE	UNITED ARAB EMIRATES	United Arab Emirates
United Kingdom	Eur_Rus	Europe	United Kingdom	GBR	United Kingdom	GBR	UNITED KINGDOM	United Kingdom
United States	Namer	North America	United States	USA	United States	USA	UNITED STATES	United States of America
Wake Island	Asia	Oceania	Wake Island	UMI	United States Minor Outlying Islands	UMI	UNITED STATES MINOR OUTLYING ISLANDS	
Uruguay	Samer	South America	Uruguay	URY	Uruguay	URY	URUGUAY	Uruguay
US Virgin Islands	Samer	Caribbean	US Virgin Islands	UVI	Virgin Islands, U.S.	VIR	VIRGIN ISLANDS, U.S.	US Virgin Islands
Uzbekistan	Mest_Africa	Asia	Uzbekistan	UZB	Uzbekistan	UZB	UZBEKISTAN	Uzbekistan
Vanuatu	Asia	Asia	Vanuatu	VUT	Vanuatu	VUT	VANUATU	Vanuatu
					Vatican City	VAT	HOLY SEE (VATICAN CITY STATE)	
Venezuela	Samer	South America	Venezuela	VEN	Venezuela	VEN	VENEZUELA	Venezuela,Bolivar Rep of
Vietnam	Asia	Asia	Vietnam	VNM	Vietnam	VNM	VIET NAM	Viet Nam
Wallis and Futuna Is	Asia	Oceania	Wallis and Futuna Is	WLF	Wallis and Futuna	WLF	WALLIS AND FUTUNA	Wallis and Futuna Is
Western Sahara	Mest_Africa	Africa	Western Sahara	ESH	Western Sahara	ESH	WESTERN SAHARA	Western Sahara
Yemen	Mest_Africa	Asia	Yemen	YEM	Yemen	YEM	YEMEN	Yemen
Zambia	Mest_Africa	Africa	Zambia	ZMB	Zambia	ZMB	ZAMBIA	Zambia
Zimbabwe	Mest_Africa	Africa	Zimbabwe	ZWE	Zimbabwe	ZWE	ZIMBABWE	Zimbabwe
